Latitude,Longitude,U,Th,K
89.5,-179.5,1.440,1.346,6.074
89.5,-178.5,1.426,1.331,6.019
89.5,-177.5,1.427,1.332,6.026
89.5,-176.5,1.429,1.334,6.035
89.5,-175.5,1.432,1.336,6.046
89.5,-174.5,1.435,1.339,6.060
89.5,-173.5,1.439,1.342,6.076
89.5,-172.5,1.443,1.346,6.094
89.5,-171.5,1.448,1.351,6.115
89.5,-170.5,1.454,1.356,6.138
89.5,-169.5,1.460,1.362,6.165
89.5,-168.5,1.468,1.368,6.195
89.5,-167.5,1.476,1.376,6.229
89.5,-166.5,1.486,1.384,6.266
89.5,-165.5,1.496,1.394,6.309
89.5,-164.5,1.509,1.405,6.357
89.5,-163.5,1.523,1.418,6.411
89.5,-162.5,1.540,1.433,6.475
89.5,-161.5,1.559,1.450,6.547
89.5,-160.5,1.581,1.469,6.630
89.5,-159.5,1.606,1.492,6.722
89.5,-158.5,1.635,1.517,6.826
89.5,-157.5,1.666,1.544,6.938
89.5,-156.5,1.667,1.546,6.945
89.5,-155.5,1.669,1.547,6.952
89.5,-154.5,1.671,1.548,6.957
89.5,-153.5,1.701,1.576,7.067
89.5,-152.5,1.729,1.600,7.168
89.5,-151.5,1.754,1.622,7.259
89.5,-150.5,1.776,1.642,7.338
89.5,-149.5,1.794,1.658,7.405
89.5,-148.5,1.809,1.671,7.462
89.5,-147.5,1.822,1.683,7.509
89.5,-146.5,1.832,1.691,7.545
89.5,-145.5,1.839,1.698,7.574
89.5,-144.5,1.845,1.703,7.594
89.5,-143.5,1.849,1.706,7.609
89.5,-142.5,1.850,1.708,7.613
89.5,-141.5,1.850,1.707,7.612
89.5,-140.5,1.847,1.705,7.601
89.5,-139.5,1.842,1.701,7.583
89.5,-138.5,1.835,1.694,7.553
89.5,-137.5,1.824,1.685,7.515
89.5,-136.5,1.811,1.673,7.464
89.5,-135.5,1.794,1.658,7.403
89.5,-134.5,1.773,1.639,7.327
89.5,-133.5,1.749,1.618,7.238
89.5,-132.5,1.720,1.592,7.133
89.5,-131.5,1.687,1.563,7.017
89.5,-130.5,1.687,1.563,7.016
89.5,-129.5,1.686,1.563,7.014
89.5,-128.5,1.686,1.562,7.011
89.5,-127.5,1.652,1.532,6.892
89.5,-126.5,1.622,1.505,6.782
89.5,-125.5,1.595,1.482,6.684
89.5,-124.5,1.571,1.461,6.598
89.5,-123.5,1.551,1.443,6.523
89.5,-122.5,1.534,1.428,6.458
89.5,-121.5,1.520,1.415,6.404
89.5,-120.5,1.507,1.404,6.355
89.5,-119.5,1.497,1.395,6.315
89.5,-118.5,1.488,1.387,6.279
89.5,-117.5,1.481,1.380,6.250
89.5,-116.5,1.474,1.374,6.222
89.5,-115.5,1.468,1.370,6.200
89.5,-114.5,1.463,1.365,6.179
89.5,-113.5,1.459,1.361,6.162
89.5,-112.5,1.455,1.358,6.144
89.5,-111.5,1.452,1.355,6.130
89.5,-110.5,1.448,1.352,6.117
89.5,-109.5,1.446,1.350,6.105
89.5,-108.5,1.443,1.347,6.094
89.5,-107.5,1.440,1.345,6.083
89.5,-106.5,1.438,1.343,6.073
89.5,-105.5,1.436,1.341,6.065
89.5,-104.5,1.434,1.340,6.057
89.5,-103.5,1.433,1.338,6.049
89.5,-102.5,1.431,1.337,6.044
89.5,-101.5,1.430,1.336,6.039
89.5,-100.5,1.430,1.336,6.036
89.5,-99.5,1.429,1.336,6.035
89.5,-98.5,1.429,1.336,6.034
89.5,-97.5,1.430,1.337,6.036
89.5,-96.5,1.430,1.337,6.037
89.5,-95.5,1.432,1.339,6.042
89.5,-94.5,1.433,1.340,6.047
89.5,-93.5,1.436,1.343,6.056
89.5,-92.5,1.438,1.346,6.065
89.5,-91.5,1.442,1.350,6.079
89.5,-90.5,1.442,1.350,6.080
89.5,-89.5,1.443,1.351,6.082
89.5,-88.5,1.443,1.351,6.083
89.5,-87.5,1.446,1.355,6.095
89.5,-86.5,1.449,1.357,6.104
89.5,-85.5,1.451,1.360,6.112
89.5,-84.5,1.452,1.361,6.117
89.5,-83.5,1.454,1.363,6.122
89.5,-82.5,1.455,1.364,6.126
89.5,-81.5,1.456,1.365,6.130
89.5,-80.5,1.456,1.366,6.132
89.5,-79.5,1.457,1.367,6.135
89.5,-78.5,1.458,1.368,6.137
89.5,-77.5,1.459,1.369,6.141
89.5,-76.5,1.460,1.370,6.144
89.5,-75.5,1.461,1.371,6.148
89.5,-74.5,1.462,1.372,6.153
89.5,-73.5,1.463,1.374,6.158
89.5,-72.5,1.465,1.375,6.164
89.5,-71.5,1.467,1.378,6.171
89.5,-70.5,1.469,1.380,6.179
89.5,-69.5,1.471,1.382,6.188
89.5,-68.5,1.474,1.385,6.199
89.5,-67.5,1.477,1.389,6.211
89.5,-66.5,1.481,1.393,6.226
89.5,-65.5,1.485,1.398,6.244
89.5,-64.5,1.491,1.404,6.265
89.5,-63.5,1.497,1.411,6.290
89.5,-62.5,1.505,1.419,6.321
89.5,-61.5,1.514,1.428,6.354
89.5,-60.5,1.512,1.427,6.347
89.5,-59.5,1.509,1.424,6.336
89.5,-58.5,1.507,1.422,6.328
89.5,-57.5,1.514,1.429,6.354
89.5,-56.5,1.520,1.436,6.380
89.5,-55.5,1.523,1.440,6.392
89.5,-54.5,1.527,1.443,6.405
89.5,-53.5,1.527,1.444,6.406
89.5,-52.5,1.528,1.445,6.410
89.5,-51.5,1.526,1.444,6.405
89.5,-50.5,1.526,1.444,6.404
89.5,-49.5,1.524,1.442,6.396
89.5,-48.5,1.523,1.441,6.393
89.5,-47.5,1.521,1.439,6.385
89.5,-46.5,1.520,1.438,6.381
89.5,-45.5,1.518,1.436,6.373
89.5,-44.5,1.517,1.435,6.369
89.5,-43.5,1.515,1.433,6.362
89.5,-42.5,1.514,1.432,6.357
89.5,-41.5,1.512,1.431,6.351
89.5,-40.5,1.511,1.430,6.347
89.5,-39.5,1.510,1.428,6.342
89.5,-38.5,1.509,1.428,6.338
89.5,-37.5,1.508,1.426,6.333
89.5,-36.5,1.507,1.426,6.330
89.5,-35.5,1.505,1.424,6.325
89.5,-34.5,1.505,1.424,6.322
89.5,-33.5,1.503,1.423,6.318
89.5,-32.5,1.503,1.422,6.315
89.5,-31.5,1.502,1.421,6.311
89.5,-30.5,1.501,1.420,6.308
89.5,-29.5,1.500,1.419,6.304
89.5,-28.5,1.499,1.419,6.302
89.5,-27.5,1.499,1.418,6.299
89.5,-26.5,1.498,1.417,6.297
89.5,-25.5,1.497,1.417,6.294
89.5,-24.5,1.497,1.416,6.291
89.5,-23.5,1.496,1.415,6.288
89.5,-22.5,1.495,1.415,6.286
89.5,-21.5,1.495,1.414,6.283
89.5,-20.5,1.494,1.414,6.281
89.5,-19.5,1.494,1.413,6.279
89.5,-18.5,1.493,1.412,6.277
89.5,-17.5,1.492,1.412,6.274
89.5,-16.5,1.492,1.411,6.271
89.5,-15.5,1.491,1.410,6.268
89.5,-14.5,1.490,1.410,6.266
89.5,-13.5,1.490,1.409,6.263
89.5,-12.5,1.489,1.408,6.260
89.5,-11.5,1.488,1.407,6.257
89.5,-10.5,1.487,1.407,6.254
89.5,-9.5,1.486,1.406,6.250
89.5,-8.5,1.485,1.405,6.246
89.5,-7.5,1.484,1.404,6.242
89.5,-6.5,1.483,1.403,6.238
89.5,-5.5,1.482,1.401,6.233
89.5,-4.5,1.481,1.400,6.228
89.5,-3.5,1.480,1.399,6.223
89.5,-2.5,1.478,1.398,6.218
89.5,-1.5,1.477,1.396,6.212
89.5,-0.5,1.476,1.395,6.210
89.5,0.5,1.476,1.395,6.207
89.5,1.5,1.475,1.394,6.205
89.5,2.5,1.474,1.393,6.199
89.5,3.5,1.472,1.392,6.195
89.5,4.5,1.471,1.390,6.190
89.5,5.5,1.470,1.389,6.187
89.5,6.5,1.470,1.389,6.183
89.5,7.5,1.469,1.388,6.180
89.5,8.5,1.468,1.387,6.177
89.5,9.5,1.468,1.386,6.175
89.5,10.5,1.467,1.386,6.172
89.5,11.5,1.466,1.385,6.170
89.5,12.5,1.466,1.385,6.169
89.5,13.5,1.466,1.384,6.167
89.5,14.5,1.465,1.384,6.165
89.5,15.5,1.465,1.384,6.164
89.5,16.5,1.464,1.383,6.162
89.5,17.5,1.464,1.383,6.161
89.5,18.5,1.464,1.383,6.160
89.5,19.5,1.464,1.382,6.158
89.5,20.5,1.463,1.382,6.157
89.5,21.5,1.463,1.382,6.156
89.5,22.5,1.463,1.382,6.155
89.5,23.5,1.463,1.381,6.154
89.5,24.5,1.462,1.381,6.153
89.5,25.5,1.462,1.381,6.152
89.5,26.5,1.462,1.381,6.151
89.5,27.5,1.462,1.381,6.150
89.5,28.5,1.462,1.380,6.149
89.5,29.5,1.461,1.380,6.149
89.5,30.5,1.461,1.380,6.148
89.5,31.5,1.461,1.380,6.147
89.5,32.5,1.461,1.380,6.147
89.5,33.5,1.461,1.380,6.146
89.5,34.5,1.461,1.380,6.146
89.5,35.5,1.461,1.380,6.145
89.5,36.5,1.461,1.380,6.145
89.5,37.5,1.461,1.379,6.145
89.5,38.5,1.461,1.379,6.144
89.5,39.5,1.461,1.379,6.144
89.5,40.5,1.460,1.379,6.143
89.5,41.5,1.460,1.379,6.142
89.5,42.5,1.460,1.379,6.142
89.5,43.5,1.460,1.379,6.141
89.5,44.5,1.460,1.379,6.141
89.5,45.5,1.460,1.379,6.141
89.5,46.5,1.460,1.379,6.140
89.5,47.5,1.460,1.378,6.140
89.5,48.5,1.460,1.378,6.139
89.5,49.5,1.460,1.378,6.139
89.5,50.5,1.459,1.378,6.138
89.5,51.5,1.460,1.378,6.139
89.5,52.5,1.460,1.378,6.139
89.5,53.5,1.460,1.378,6.139
89.5,54.5,1.460,1.379,6.140
89.5,55.5,1.460,1.379,6.141
89.5,56.5,1.461,1.379,6.142
89.5,57.5,1.461,1.380,6.143
89.5,58.5,1.461,1.380,6.145
89.5,59.5,1.461,1.380,6.145
89.5,60.5,1.462,1.380,6.145
89.5,61.5,1.462,1.380,6.146
89.5,62.5,1.462,1.381,6.148
89.5,63.5,1.463,1.381,6.149
89.5,64.5,1.463,1.382,6.151
89.5,65.5,1.464,1.382,6.153
89.5,66.5,1.464,1.383,6.155
89.5,67.5,1.464,1.383,6.156
89.5,68.5,1.465,1.384,6.157
89.5,69.5,1.465,1.384,6.158
89.5,70.5,1.465,1.384,6.159
89.5,71.5,1.466,1.385,6.160
89.5,72.5,1.466,1.385,6.161
89.5,73.5,1.466,1.385,6.162
89.5,74.5,1.466,1.385,6.163
89.5,75.5,1.467,1.385,6.164
89.5,76.5,1.467,1.386,6.164
89.5,77.5,1.467,1.386,6.165
89.5,78.5,1.467,1.386,6.166
89.5,79.5,1.468,1.386,6.167
89.5,80.5,1.468,1.387,6.168
89.5,81.5,1.468,1.387,6.170
89.5,82.5,1.469,1.388,6.171
89.5,83.5,1.469,1.388,6.173
89.5,84.5,1.470,1.389,6.175
89.5,85.5,1.470,1.389,6.178
89.5,86.5,1.471,1.390,6.180
89.5,87.5,1.472,1.391,6.183
89.5,88.5,1.473,1.392,6.186
89.5,89.5,1.473,1.392,6.187
89.5,90.5,1.473,1.392,6.187
89.5,91.5,1.473,1.392,6.187
89.5,92.5,1.474,1.393,6.190
89.5,93.5,1.474,1.393,6.193
89.5,94.5,1.475,1.394,6.196
89.5,95.5,1.476,1.395,6.198
89.5,96.5,1.476,1.395,6.199
89.5,97.5,1.476,1.396,6.201
89.5,98.5,1.477,1.396,6.202
89.5,99.5,1.477,1.396,6.203
89.5,100.5,1.477,1.396,6.204
89.5,101.5,1.477,1.396,6.204
89.5,102.5,1.477,1.396,6.204
89.5,103.5,1.477,1.396,6.204
89.5,104.5,1.477,1.396,6.204
89.5,105.5,1.477,1.396,6.204
89.5,106.5,1.477,1.396,6.203
89.5,107.5,1.477,1.396,6.202
89.5,108.5,1.477,1.395,6.201
89.5,109.5,1.476,1.395,6.199
89.5,110.5,1.476,1.394,6.198
89.5,111.5,1.475,1.394,6.195
89.5,112.5,1.474,1.393,6.192
89.5,113.5,1.473,1.392,6.189
89.5,114.5,1.472,1.391,6.185
89.5,115.5,1.471,1.389,6.180
89.5,116.5,1.470,1.388,6.174
89.5,117.5,1.468,1.386,6.168
89.5,118.5,1.466,1.384,6.161
89.5,119.5,1.467,1.384,6.162
89.5,120.5,1.467,1.385,6.164
89.5,121.5,1.468,1.385,6.166
89.5,122.5,1.466,1.384,6.161
89.5,123.5,1.466,1.383,6.158
89.5,124.5,1.465,1.382,6.157
89.5,125.5,1.465,1.382,6.157
89.5,126.5,1.466,1.383,6.160
89.5,127.5,1.467,1.384,6.164
89.5,128.5,1.469,1.386,6.172
89.5,129.5,1.471,1.388,6.179
89.5,130.5,1.475,1.391,6.193
89.5,131.5,1.477,1.393,6.201
89.5,132.5,1.481,1.398,6.218
89.5,133.5,1.484,1.400,6.227
89.5,134.5,1.488,1.405,6.245
89.5,135.5,1.490,1.407,6.253
89.5,136.5,1.495,1.411,6.270
89.5,137.5,1.497,1.413,6.276
89.5,138.5,1.500,1.416,6.288
89.5,139.5,1.500,1.416,6.291
89.5,140.5,1.501,1.417,6.293
89.5,141.5,1.500,1.416,6.290
89.5,142.5,1.499,1.414,6.284
89.5,143.5,1.496,1.411,6.275
89.5,144.5,1.492,1.407,6.259
89.5,145.5,1.488,1.402,6.242
89.5,146.5,1.481,1.395,6.216
89.5,147.5,1.474,1.388,6.190
89.5,148.5,1.465,1.378,6.155
89.5,149.5,1.464,1.377,6.150
89.5,150.5,1.462,1.375,6.143
89.5,151.5,1.461,1.373,6.138
89.5,152.5,1.452,1.364,6.106
89.5,153.5,1.445,1.357,6.080
89.5,154.5,1.439,1.350,6.055
89.5,155.5,1.434,1.345,6.037
89.5,156.5,1.430,1.341,6.021
89.5,157.5,1.427,1.337,6.009
89.5,158.5,1.424,1.334,5.999
89.5,159.5,1.422,1.332,5.991
89.5,160.5,1.420,1.330,5.984
89.5,161.5,1.419,1.329,5.980
89.5,162.5,1.418,1.327,5.976
89.5,163.5,1.417,1.326,5.973
89.5,164.5,1.416,1.325,5.971
89.5,165.5,1.416,1.325,5.970
89.5,166.5,1.415,1.324,5.969
89.5,167.5,1.415,1.324,5.969
89.5,168.5,1.415,1.324,5.969
89.5,169.5,1.415,1.324,5.971
89.5,170.5,1.416,1.324,5.972
89.5,171.5,1.416,1.324,5.974
89.5,172.5,1.416,1.324,5.976
89.5,173.5,1.417,1.325,5.978
89.5,174.5,1.417,1.325,5.980
89.5,175.5,1.418,1.325,5.983
89.5,176.5,1.418,1.325,5.985
89.5,177.5,1.418,1.325,5.988
89.5,178.5,1.419,1.325,5.990
89.5,179.5,1.436,1.343,6.058
88.5,-179.5,1.303,1.210,5.524
88.5,-178.5,1.277,1.184,5.425
88.5,-177.5,1.279,1.186,5.434
88.5,-176.5,1.281,1.188,5.445
88.5,-175.5,1.284,1.191,5.456
88.5,-174.5,1.287,1.193,5.468
88.5,-173.5,1.290,1.196,5.481
88.5,-172.5,1.293,1.199,5.496
88.5,-171.5,1.297,1.203,5.513
88.5,-170.5,1.301,1.207,5.531
88.5,-169.5,1.306,1.211,5.551
88.5,-168.5,1.312,1.217,5.575
88.5,-167.5,1.318,1.222,5.601
88.5,-166.5,1.325,1.229,5.632
88.5,-165.5,1.333,1.237,5.667
88.5,-164.5,1.343,1.246,5.710
88.5,-163.5,1.356,1.257,5.761
88.5,-162.5,1.371,1.271,5.825
88.5,-161.5,1.390,1.289,5.905
88.5,-160.5,1.417,1.312,6.011
88.5,-159.5,1.452,1.345,6.153
88.5,-158.5,1.504,1.391,6.352
88.5,-157.5,1.580,1.459,6.636
88.5,-156.5,1.597,1.474,6.702
88.5,-155.5,1.613,1.489,6.769
88.5,-154.5,1.629,1.503,6.832
88.5,-153.5,1.704,1.570,7.112
88.5,-152.5,1.755,1.616,7.308
88.5,-151.5,1.790,1.648,7.449
88.5,-150.5,1.816,1.671,7.552
88.5,-149.5,1.834,1.688,7.628
88.5,-148.5,1.848,1.700,7.684
88.5,-147.5,1.859,1.710,7.730
88.5,-146.5,1.867,1.718,7.763
88.5,-145.5,1.873,1.724,7.789
88.5,-144.5,1.876,1.727,7.805
88.5,-143.5,1.880,1.730,7.818
88.5,-142.5,1.881,1.731,7.824
88.5,-141.5,1.882,1.732,7.827
88.5,-140.5,1.880,1.730,7.819
88.5,-139.5,1.877,1.728,7.806
88.5,-138.5,1.871,1.722,7.780
88.5,-137.5,1.863,1.714,7.745
88.5,-136.5,1.850,1.704,7.695
88.5,-135.5,1.834,1.689,7.628
88.5,-134.5,1.810,1.667,7.531
88.5,-133.5,1.776,1.637,7.397
88.5,-132.5,1.725,1.590,7.201
88.5,-131.5,1.647,1.521,6.913
88.5,-130.5,1.632,1.508,6.854
88.5,-129.5,1.617,1.494,6.793
88.5,-128.5,1.602,1.481,6.732
88.5,-127.5,1.524,1.411,6.442
88.5,-126.5,1.472,1.364,6.242
88.5,-125.5,1.436,1.332,6.102
88.5,-124.5,1.411,1.310,5.999
88.5,-123.5,1.393,1.293,5.925
88.5,-122.5,1.379,1.281,5.869
88.5,-121.5,1.370,1.273,5.830
88.5,-120.5,1.361,1.265,5.793
88.5,-119.5,1.354,1.259,5.763
88.5,-118.5,1.348,1.254,5.738
88.5,-117.5,1.346,1.252,5.726
88.5,-116.5,1.343,1.249,5.713
88.5,-115.5,1.340,1.247,5.701
88.5,-114.5,1.337,1.244,5.690
88.5,-113.5,1.335,1.242,5.681
88.5,-112.5,1.333,1.241,5.671
88.5,-111.5,1.331,1.239,5.664
88.5,-110.5,1.330,1.238,5.657
88.5,-109.5,1.328,1.237,5.652
88.5,-108.5,1.327,1.236,5.647
88.5,-107.5,1.326,1.235,5.644
88.5,-106.5,1.326,1.235,5.643
88.5,-105.5,1.325,1.234,5.639
88.5,-104.5,1.325,1.234,5.636
88.5,-103.5,1.324,1.233,5.633
88.5,-102.5,1.324,1.234,5.634
88.5,-101.5,1.324,1.234,5.634
88.5,-100.5,1.324,1.234,5.634
88.5,-99.5,1.324,1.233,5.633
88.5,-98.5,1.324,1.233,5.632
88.5,-97.5,1.324,1.233,5.632
88.5,-96.5,1.324,1.233,5.631
88.5,-95.5,1.324,1.233,5.632
88.5,-94.5,1.323,1.233,5.631
88.5,-93.5,1.323,1.233,5.631
88.5,-92.5,1.323,1.232,5.629
88.5,-91.5,1.322,1.232,5.625
88.5,-90.5,1.322,1.232,5.625
88.5,-89.5,1.322,1.232,5.626
88.5,-88.5,1.322,1.232,5.626
88.5,-87.5,1.321,1.231,5.622
88.5,-86.5,1.321,1.230,5.620
88.5,-85.5,1.320,1.230,5.619
88.5,-84.5,1.320,1.230,5.618
88.5,-83.5,1.320,1.229,5.618
88.5,-82.5,1.320,1.229,5.618
88.5,-81.5,1.320,1.229,5.617
88.5,-80.5,1.320,1.229,5.617
88.5,-79.5,1.319,1.229,5.615
88.5,-78.5,1.319,1.228,5.613
88.5,-77.5,1.318,1.227,5.609
88.5,-76.5,1.315,1.225,5.600
88.5,-75.5,1.315,1.225,5.601
88.5,-74.5,1.315,1.225,5.601
88.5,-73.5,1.315,1.225,5.601
88.5,-72.5,1.313,1.223,5.593
88.5,-71.5,1.312,1.222,5.590
88.5,-70.5,1.312,1.221,5.589
88.5,-69.5,1.312,1.221,5.589
88.5,-68.5,1.312,1.222,5.590
88.5,-67.5,1.313,1.222,5.592
88.5,-66.5,1.313,1.223,5.594
88.5,-65.5,1.314,1.224,5.598
88.5,-64.5,1.316,1.225,5.603
88.5,-63.5,1.317,1.227,5.610
88.5,-62.5,1.321,1.231,5.623
88.5,-61.5,1.327,1.237,5.646
88.5,-60.5,1.327,1.238,5.649
88.5,-59.5,1.328,1.238,5.650
88.5,-58.5,1.328,1.239,5.653
88.5,-57.5,1.334,1.245,5.675
88.5,-56.5,1.337,1.249,5.688
88.5,-55.5,1.339,1.250,5.693
88.5,-54.5,1.340,1.252,5.699
88.5,-53.5,1.340,1.253,5.701
88.5,-52.5,1.342,1.254,5.706
88.5,-51.5,1.342,1.255,5.709
88.5,-50.5,1.344,1.257,5.716
88.5,-49.5,1.346,1.259,5.722
88.5,-48.5,1.349,1.263,5.737
88.5,-47.5,1.355,1.269,5.757
88.5,-46.5,1.365,1.279,5.796
88.5,-45.5,1.365,1.280,5.798
88.5,-44.5,1.366,1.281,5.803
88.5,-43.5,1.367,1.282,5.806
88.5,-42.5,1.377,1.293,5.844
88.5,-41.5,1.382,1.299,5.866
88.5,-40.5,1.386,1.303,5.880
88.5,-39.5,1.388,1.305,5.887
88.5,-38.5,1.390,1.307,5.894
88.5,-37.5,1.391,1.308,5.897
88.5,-36.5,1.392,1.309,5.902
88.5,-35.5,1.392,1.310,5.904
88.5,-34.5,1.393,1.312,5.909
88.5,-33.5,1.395,1.313,5.915
88.5,-32.5,1.398,1.316,5.926
88.5,-31.5,1.402,1.321,5.941
88.5,-30.5,1.402,1.321,5.941
88.5,-29.5,1.402,1.321,5.941
88.5,-28.5,1.402,1.322,5.942
88.5,-27.5,1.406,1.326,5.958
88.5,-26.5,1.409,1.328,5.967
88.5,-25.5,1.409,1.330,5.971
88.5,-24.5,1.410,1.330,5.972
88.5,-23.5,1.410,1.330,5.972
88.5,-22.5,1.410,1.330,5.972
88.5,-21.5,1.409,1.330,5.970
88.5,-20.5,1.408,1.329,5.966
88.5,-19.5,1.407,1.328,5.961
88.5,-18.5,1.406,1.326,5.955
88.5,-17.5,1.403,1.324,5.945
88.5,-16.5,1.400,1.321,5.933
88.5,-15.5,1.399,1.319,5.928
88.5,-14.5,1.398,1.318,5.924
88.5,-13.5,1.397,1.317,5.919
88.5,-12.5,1.393,1.314,5.905
88.5,-11.5,1.391,1.311,5.895
88.5,-10.5,1.389,1.309,5.887
88.5,-9.5,1.387,1.307,5.880
88.5,-8.5,1.385,1.305,5.873
88.5,-7.5,1.384,1.304,5.866
88.5,-6.5,1.382,1.302,5.860
88.5,-5.5,1.380,1.300,5.852
88.5,-4.5,1.378,1.298,5.844
88.5,-3.5,1.376,1.295,5.833
88.5,-2.5,1.373,1.292,5.820
88.5,-1.5,1.368,1.287,5.802
88.5,-0.5,1.367,1.285,5.796
88.5,0.5,1.365,1.284,5.790
88.5,1.5,1.364,1.282,5.784
88.5,2.5,1.359,1.277,5.765
88.5,3.5,1.355,1.274,5.751
88.5,4.5,1.353,1.271,5.741
88.5,5.5,1.351,1.269,5.733
88.5,6.5,1.349,1.267,5.726
88.5,7.5,1.348,1.265,5.719
88.5,8.5,1.346,1.263,5.711
88.5,9.5,1.343,1.261,5.702
88.5,10.5,1.341,1.259,5.692
88.5,11.5,1.338,1.256,5.681
88.5,12.5,1.334,1.252,5.666
88.5,13.5,1.329,1.246,5.645
88.5,14.5,1.327,1.244,5.638
88.5,15.5,1.326,1.243,5.631
88.5,16.5,1.324,1.241,5.624
88.5,17.5,1.319,1.235,5.603
88.5,18.5,1.315,1.231,5.588
88.5,19.5,1.312,1.229,5.577
88.5,20.5,1.310,1.226,5.569
88.5,21.5,1.308,1.225,5.561
88.5,22.5,1.307,1.223,5.555
88.5,23.5,1.305,1.221,5.549
88.5,24.5,1.304,1.220,5.543
88.5,25.5,1.302,1.218,5.536
88.5,26.5,1.301,1.216,5.530
88.5,27.5,1.299,1.214,5.521
88.5,28.5,1.295,1.211,5.508
88.5,29.5,1.294,1.210,5.503
88.5,30.5,1.293,1.208,5.499
88.5,31.5,1.293,1.208,5.496
88.5,32.5,1.290,1.204,5.484
88.5,33.5,1.288,1.202,5.475
88.5,34.5,1.286,1.201,5.469
88.5,35.5,1.285,1.199,5.463
88.5,36.5,1.284,1.198,5.460
88.5,37.5,1.283,1.198,5.457
88.5,38.5,1.283,1.197,5.455
88.5,39.5,1.282,1.197,5.452
88.5,40.5,1.282,1.196,5.450
88.5,41.5,1.282,1.196,5.448
88.5,42.5,1.281,1.195,5.447
88.5,43.5,1.281,1.195,5.446
88.5,44.5,1.281,1.195,5.445
88.5,45.5,1.281,1.195,5.444
88.5,46.5,1.281,1.194,5.442
88.5,47.5,1.281,1.194,5.442
88.5,48.5,1.281,1.194,5.441
88.5,49.5,1.281,1.194,5.441
88.5,50.5,1.281,1.194,5.441
88.5,51.5,1.281,1.194,5.440
88.5,52.5,1.281,1.194,5.440
88.5,53.5,1.281,1.194,5.440
88.5,54.5,1.281,1.195,5.441
88.5,55.5,1.281,1.195,5.442
88.5,56.5,1.283,1.196,5.447
88.5,57.5,1.285,1.199,5.455
88.5,58.5,1.288,1.202,5.467
88.5,59.5,1.288,1.202,5.467
88.5,60.5,1.288,1.202,5.467
88.5,61.5,1.289,1.203,5.470
88.5,62.5,1.292,1.207,5.483
88.5,63.5,1.294,1.209,5.490
88.5,64.5,1.296,1.210,5.496
88.5,65.5,1.297,1.212,5.502
88.5,66.5,1.298,1.213,5.505
88.5,67.5,1.299,1.214,5.507
88.5,68.5,1.299,1.214,5.509
88.5,69.5,1.300,1.215,5.513
88.5,70.5,1.301,1.217,5.517
88.5,71.5,1.303,1.218,5.523
88.5,72.5,1.305,1.221,5.531
88.5,73.5,1.308,1.224,5.544
88.5,74.5,1.309,1.225,5.546
88.5,75.5,1.309,1.226,5.548
88.5,76.5,1.310,1.226,5.550
88.5,77.5,1.313,1.230,5.563
88.5,78.5,1.315,1.232,5.572
88.5,79.5,1.317,1.234,5.577
88.5,80.5,1.318,1.235,5.581
88.5,81.5,1.319,1.236,5.584
88.5,82.5,1.319,1.237,5.587
88.5,83.5,1.320,1.237,5.590
88.5,84.5,1.321,1.238,5.593
88.5,85.5,1.322,1.240,5.597
88.5,86.5,1.323,1.241,5.602
88.5,87.5,1.325,1.243,5.610
88.5,88.5,1.328,1.246,5.621
88.5,89.5,1.329,1.247,5.623
88.5,90.5,1.329,1.247,5.625
88.5,91.5,1.330,1.248,5.627
88.5,92.5,1.333,1.251,5.638
88.5,93.5,1.335,1.253,5.645
88.5,94.5,1.336,1.254,5.650
88.5,95.5,1.337,1.255,5.654
88.5,96.5,1.338,1.256,5.656
88.5,97.5,1.338,1.257,5.658
88.5,98.5,1.339,1.257,5.660
88.5,99.5,1.339,1.258,5.662
88.5,100.5,1.340,1.258,5.664
88.5,101.5,1.341,1.259,5.666
88.5,102.5,1.341,1.259,5.669
88.5,103.5,1.342,1.261,5.673
88.5,104.5,1.343,1.261,5.674
88.5,105.5,1.343,1.261,5.675
88.5,106.5,1.343,1.261,5.676
88.5,107.5,1.344,1.262,5.680
88.5,108.5,1.345,1.263,5.682
88.5,109.5,1.346,1.263,5.684
88.5,110.5,1.346,1.264,5.685
88.5,111.5,1.346,1.264,5.686
88.5,112.5,1.346,1.264,5.686
88.5,113.5,1.346,1.264,5.686
88.5,114.5,1.346,1.263,5.685
88.5,115.5,1.346,1.263,5.684
88.5,116.5,1.345,1.262,5.681
88.5,117.5,1.345,1.261,5.678
88.5,118.5,1.343,1.259,5.671
88.5,119.5,1.343,1.259,5.670
88.5,120.5,1.343,1.259,5.670
88.5,121.5,1.343,1.258,5.669
88.5,122.5,1.341,1.257,5.663
88.5,123.5,1.340,1.255,5.658
88.5,124.5,1.339,1.254,5.655
88.5,125.5,1.339,1.254,5.652
88.5,126.5,1.339,1.253,5.652
88.5,127.5,1.338,1.253,5.649
88.5,128.5,1.338,1.252,5.649
88.5,129.5,1.337,1.251,5.644
88.5,130.5,1.336,1.250,5.642
88.5,131.5,1.333,1.247,5.629
88.5,132.5,1.329,1.242,5.614
88.5,133.5,1.319,1.232,5.574
88.5,134.5,1.320,1.232,5.578
88.5,135.5,1.319,1.231,5.574
88.5,136.5,1.320,1.232,5.576
88.5,137.5,1.309,1.221,5.536
88.5,138.5,1.304,1.215,5.516
88.5,139.5,1.300,1.211,5.501
88.5,140.5,1.298,1.208,5.491
