1.326,1.232,5.618,0.223,0.230,0.859,0.598,0.509,1.870,0.222,0.242,1.264,0.048,0.049,0.528,0.235,0.202,1.097
1.317,1.224,5.587,0.196,0.202,0.754,0.599,0.510,1.872,0.222,0.243,1.266,0.047,0.049,0.528,0.254,0.221,1.167
1.323,1.228,5.610,0.186,0.191,0.713,0.601,0.512,1.880,0.222,0.244,1.273,0.047,0.049,0.528,0.267,0.233,1.215
1.329,1.234,5.638,0.180,0.185,0.693,0.605,0.516,1.892,0.224,0.246,1.283,0.047,0.049,0.531,0.274,0.240,1.240
1.337,1.242,5.673,0.177,0.182,0.681,0.610,0.520,1.908,0.226,0.248,1.296,0.047,0.049,0.534,0.278,0.243,1.254
1.348,1.252,5.717,0.175,0.181,0.674,0.617,0.527,1.929,0.229,0.251,1.313,0.047,0.049,0.538,0.281,0.246,1.264
1.361,1.264,5.774,0.174,0.179,0.669,0.622,0.531,1.945,0.231,0.253,1.326,0.047,0.049,0.542,0.288,0.253,1.291
1.379,1.281,5.850,0.174,0.179,0.668,0.627,0.535,1.960,0.233,0.256,1.340,0.047,0.049,0.546,0.299,0.263,1.335
1.406,1.304,5.956,0.173,0.179,0.667,0.632,0.540,1.978,0.236,0.259,1.355,0.047,0.049,0.551,0.317,0.278,1.403
1.445,1.340,6.116,0.173,0.178,0.666,0.640,0.546,1.999,0.239,0.262,1.374,0.047,0.049,0.557,0.346,0.305,1.520
1.514,1.402,6.383,0.173,0.178,0.666,0.647,0.552,2.024,0.243,0.266,1.394,0.047,0.049,0.562,0.404,0.357,1.738
1.608,1.486,6.737,0.173,0.178,0.665,0.660,0.563,2.063,0.248,0.270,1.422,0.048,0.050,0.568,0.480,0.425,2.019
1.633,1.509,6.839,0.173,0.178,0.665,0.686,0.585,2.144,0.255,0.278,1.467,0.048,0.050,0.577,0.471,0.417,1.987
1.726,1.592,7.187,0.173,0.178,0.664,0.697,0.595,2.181,0.260,0.283,1.493,0.049,0.050,0.583,0.547,0.484,2.265
1.793,1.653,7.450,0.173,0.178,0.664,0.704,0.601,2.201,0.262,0.286,1.509,0.049,0.051,0.587,0.606,0.538,2.488
1.831,1.687,7.600,0.173,0.178,0.664,0.708,0.605,2.214,0.265,0.288,1.521,0.049,0.051,0.591,0.637,0.566,2.610
1.854,1.707,7.692,0.173,0.178,0.664,0.711,0.607,2.221,0.266,0.289,1.528,0.049,0.051,0.594,0.656,0.583,2.685
1.866,1.719,7.744,0.173,0.178,0.664,0.711,0.607,2.222,0.266,0.290,1.529,0.049,0.051,0.595,0.668,0.594,2.734
1.873,1.725,7.768,0.173,0.178,0.663,0.709,0.606,2.218,0.266,0.289,1.527,0.049,0.051,0.596,0.676,0.601,2.765
1.873,1.725,7.769,0.173,0.178,0.663,0.712,0.608,2.225,0.266,0.290,1.532,0.049,0.051,0.597,0.673,0.598,2.751
1.865,1.718,7.737,0.173,0.178,0.663,0.713,0.609,2.228,0.267,0.291,1.533,0.049,0.051,0.598,0.664,0.590,2.714
1.847,1.701,7.662,0.173,0.178,0.663,0.712,0.607,2.224,0.266,0.290,1.530,0.049,0.052,0.597,0.647,0.575,2.648
1.812,1.671,7.526,0.173,0.178,0.664,0.708,0.605,2.214,0.264,0.288,1.520,0.050,0.052,0.595,0.619,0.549,2.533
1.746,1.611,7.271,0.173,0.178,0.664,0.703,0.600,2.197,0.262,0.286,1.506,0.049,0.052,0.592,0.560,0.496,2.312
