Country Code,Country,Sitename,Location,Status,Gross (MWe),Thermal (MWt),Load Factor (%),lat (-90 to 90),lng (-180 to 180),alt (m),IAEA url
US,UNITED STATES OF AMERICA,LIMERICK-2,LIMERICK,Operational,1194,3515,92.2,40.23093,-75.52212,49,http://www.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=679
US,UNITED STATES OF AMERICA,MAINE YANKEE,WISCASSET,Permanent Shutdown,900,2630,68.2,44.00289,-69.66558,-8,http://www.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=649
US,UNITED STATES OF AMERICA,MCGUIRE-1,CORNELIUS,Operational,1215,3411,79.3,35.48680,-80.86007,203,http://www.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=690
US,UNITED STATES OF AMERICA,MCGUIRE-2,CORNELIUS,Operational,1215,3411,84.8,35.48680,-80.86007,203,http://www.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=691
US,UNITED STATES OF AMERICA,MILLSTONE-1,WATERFORD,Permanent Shutdown,684,2011,65.1,42.69074,-83.40661,264,http://www.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=610
US,UNITED STATES OF AMERICA,MILLSTONE-2,WATERFORD,Operational,918,2700,67.8,42.69074,-83.40661,264,http://www.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=671
US,UNITED STATES OF AMERICA,MILLSTONE-3,WATERFORD,Operational,1280,3650,76.7,42.69074,-83.40661,264,http://www.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=717
US,UNITED STATES OF AMERICA,MONTICELLO,MONTICELLO,Operational,613,1775,80.1,38.00860,-78.45320,103,http://www.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=620
US,UNITED STATES OF AMERICA,NINE MILE POINT-1,SCRIBA,Operational,642,1850,71.6,43.46535,-76.43049,91,http://www.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=607
US,UNITED STATES OF AMERICA,NINE MILE POINT-2,SCRIBA,Operational,1320,3988,82.4,43.46535,-76.43049,90,http://www.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=711
US,UNITED STATES OF AMERICA,NORTH ANNA-1,MINERAL,Operational,990,2940,80.5,38.01070,-77.90861,97,http://www.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=672
US,UNITED STATES OF AMERICA,NORTH ANNA-2,MINERAL,Operational,1011,2940,83.6,38.01070,-77.90861,97,http://www.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=673
US,UNITED STATES OF AMERICA,OCONEE-1,OCONEE,Operational,891,2568,77.9,34.74925,-82.99316,232,http://www.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=624
US,UNITED STATES OF AMERICA,OCONEE-2,OCONEE,Operational,891,2568,80.5,34.74925,-82.99316,232,http://www.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=625
US,UNITED STATES OF AMERICA,OCONEE-3,OCONEE,Operational,891,2568,80.5,34.74925,-82.99316,232,http://www.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=636
US,UNITED STATES OF AMERICA,OYSTER CREEK,FORKED RIVER,Operational,652,1930,72.3,39.82583,-74.18333,-30,http://www.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=606
US,UNITED STATES OF AMERICA,PALISADES,SOUTH HAVEN,Operational,845,2565,68.4,42.40309,-86.27364,145,http://www.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=616
US,UNITED STATES OF AMERICA,PALO VERDE-1,WINTERSBURG,Operational,1414,3990,77.8,33.42505,-112.86170,275,http://www.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=789
US,UNITED STATES OF AMERICA,PALO VERDE-2,WINTERSBURG,Operational,1414,3990,82.1,33.42505,-112.86170,275,http://www.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=790
US,UNITED STATES OF AMERICA,PALO VERDE-3,WINTERSBURG,Operational,1414,3990,83.5,33.42505,-112.86170,275,http://www.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=791
US,UNITED STATES OF AMERICA,PATHFINDER,NaN,Permanent Shutdown,63,220,0,37.09024,-95.71289,228,http://www.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=598
US,UNITED STATES OF AMERICA,PEACH BOTTOM-1,YORK COUNTY,Permanent Shutdown,42,115,0,39.95125,-76.73365,91,http://www.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=603
US,UNITED STATES OF AMERICA,PEACH BOTTOM-2,YORK COUNTY,Operational,1182,3514,74.3,39.95125,-76.73365,91,http://www.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=629
US,UNITED STATES OF AMERICA,PEACH BOTTOM-3,YORK COUNTY,Operational,1182,3514,75.3,39.95125,-76.73365,91,http://www.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=630
US,UNITED STATES OF AMERICA,PERRY-1,PERRY,Operational,1303,3758,79.2,32.45821,-83.73157,73,http://www.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=725
US,UNITED STATES OF AMERICA,PILGRIM-1,PLYMOUTH,Operational,711,2028,68.8,45.01052,-93.45551,265,http://www.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=639
US,UNITED STATES OF AMERICA,PIQUA,Piqua,Permanent Shutdown,12,46,0,40.14477,-84.24244,258,http://www.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=894
US,UNITED STATES OF AMERICA,POINT BEACH-1,TWO CREEKS,Operational,640,1800,79.9,44.30222,-87.56314,163,http://www.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=622
US,UNITED STATES OF AMERICA,POINT BEACH-2,TWO CREEKS,Operational,640,1800,83,44.30222,-87.56314,163,http://www.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=644
US,UNITED STATES OF AMERICA,PRAIRIE ISLAND-1,RED WING,Operational,566,1677,85.7,44.56607,-92.53696,213,http://www.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=633
US,UNITED STATES OF AMERICA,PRAIRIE ISLAND-2,RED WING,Operational,560,1677,87.2,44.56607,-92.53696,213,http://www.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=648
US,UNITED STATES OF AMERICA,QUAD CITIES-1,CORDOVA,Operational,940,2957,74.8,41.72639,-90.31000,0,http://www.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=615
US,UNITED STATES OF AMERICA,QUAD CITIES-2,CORDOVA,Operational,940,2957,73.7,41.72639,-90.31000,0,http://www.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=621
US,UNITED STATES OF AMERICA,RANCHO SECO-1,SACRAMENTO,Permanent Shutdown,917,2772,40,38.58157,-121.49440,-22,http://www.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=651
US,UNITED STATES OF AMERICA,RIVER BEND-1,ST.FRANCISVILLE,Operational,1016,3091,81.2,30.78807,-91.37685,3,http://www.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=739
US,UNITED STATES OF AMERICA,ROBINSON-2,HARTSVILLE,Operational,780,2339,77.1,34.37404,-80.07340,33,http://www.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=619
US,UNITED STATES OF AMERICA,SALEM-1,SALEM,Operational,1254,3459,67.9,42.51954,-70.89672,-13,http://www.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=627
US,UNITED STATES OF AMERICA,SALEM-2,SALEM,Operational,1200,3459,69.8,42.51954,-70.89672,-23,http://www.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=650
US,UNITED STATES OF AMERICA,SAN ONOFRE-1,SAN CLEMENTE,Permanent Shutdown,456,1347,53.2,33.42697,-117.61199,44,http://www.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=604
US,UNITED STATES OF AMERICA,SAN ONOFRE-2,SAN CLEMENTE,Permanent Shutdown,1127,3438,78,33.42697,-117.61199,28,http://www.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=683
US,UNITED STATES OF AMERICA,SAN ONOFRE-3,SAN CLEMENTE,Permanent Shutdown,1127,3438,77.5,33.42697,-117.61199,28,http://www.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=684
US,UNITED STATES OF AMERICA,SAXTON,NaN,Permanent Shutdown,3,24,0,37.09024,-95.71289,228,http://www.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=892
US,UNITED STATES OF AMERICA,SEABROOK-1,SEABROOK,Operational,1296,3648,85.6,29.56412,-95.02548,-25,http://www.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=727
US,UNITED STATES OF AMERICA,SEQUOYAH-1,DAISY,Operational,1221,3455,72.4,34.53593,-95.73970,253,http://www.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=663
US,UNITED STATES OF AMERICA,SEQUOYAH-2,DAISY,Operational,1200,3455,75.2,34.53593,-95.73970,253,http://www.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=664
US,UNITED STATES OF AMERICA,SHIPPINGPORT,NaN,Permanent Shutdown,68,236,0,37.09024,-95.71289,228,http://www.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=890
US,UNITED STATES OF AMERICA,SHOREHAM,SHOREHAM,Permanent Shutdown,849,2436,0,40.95732,-72.90760,5,http://www.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=659
US,UNITED STATES OF AMERICA,SOUTH TEXAS-1,BAY CITY,Operational,1354,3853,83,43.59447,-83.88886,145,http://www.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=764
US,UNITED STATES OF AMERICA,SOUTH TEXAS-2,BAY CITY,Operational,1354,3853,81,43.59447,-83.88886,145,http://www.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=765
US,UNITED STATES OF AMERICA,ST. LUCIE-1,FORT PIERCE,Operational,1045,3020,81.5,27.44671,-80.32561,-27,http://www.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=670
US,UNITED STATES OF AMERICA,ST. LUCIE-2,FORT PIERCE,Operational,1050,3020,84.7,27.44671,-80.32561,-27,http://www.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=698
US,UNITED STATES OF AMERICA,SUMMER-1,JENKINSVILLE,Operational,1006,2900,83.5,34.26737,-81.28843,69,http://www.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=701
US,UNITED STATES OF AMERICA,SUMMER-2,JENKINSVILLE,Under Construction,1250,3400,0,34.26737,-81.28843,78,http://www.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=1038
US,UNITED STATES OF AMERICA,SUMMER-3,JENKINSVILLE,Under Construction,1250,3400,0,34.26737,-81.28843,78,http://www.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=1039
US,UNITED STATES OF AMERICA,SURRY-1,GRAVEL NECK,Operational,890,2857,75.6,37.16043,-76.68940,-32,http://www.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=631
US,UNITED STATES OF AMERICA,SURRY-2,GRAVEL NECK,Operational,890,2857,76,37.16043,-76.68940,-32,http://www.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=632
US,UNITED STATES OF AMERICA,SUSQUEHANNA-1,SALEM,Operational,1330,3952,82.5,42.51954,-70.89672,-23,http://www.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=696
US,UNITED STATES OF AMERICA,SUSQUEHANNA-2,SALEM,Operational,1330,3952,86,42.51954,-70.89672,-23,http://www.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=697
US,UNITED STATES OF AMERICA,THREE MILE ISLAND-1,DAUPHIN,Operational,880,2568,75.2,40.36731,-76.93109,93,http://www.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=637
US,UNITED STATES OF AMERICA,THREE MILE ISLAND-2,DAUPHIN,Permanent Shutdown,959,2772,69.3,40.36731,-76.93109,93,http://www.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=657
US,UNITED STATES OF AMERICA,TROJAN,PRESCOTT,Permanent Shutdown,1155,3411,53.6,34.54002,-112.46850,1639,http://www.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=675
US,UNITED STATES OF AMERICA,TURKEY POINT-3,FLORIDA CITY,Operational,829,2644,75.8,25.44789,-80.47922,-25,http://www.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=613
US,UNITED STATES OF AMERICA,TURKEY POINT-4,FLORIDA CITY,Operational,829,2644,75.6,25.44789,-80.47922,-25,http://www.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=614
US,UNITED STATES OF AMERICA,VERMONT YANKEE,VERNON,Operational,635,1912,83.5,34.00390,-118.23007,24,http://www.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=626
US,UNITED STATES OF AMERICA,VOGTLE-1,WAYNESBORO,Operational,1229,3626,90.9,38.06847,-78.88947,382,http://www.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=718
US,UNITED STATES OF AMERICA,VOGTLE-2,WAYNESBORO,Operational,1229,3626,90.5,38.06847,-78.88947,382,http://www.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=719
US,UNITED STATES OF AMERICA,VOGTLE-3,WAYNESBORO,Under Construction,1250,3400,0,38.06847,-78.88947,430,http://www.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=1042
US,UNITED STATES OF AMERICA,VOGTLE-4,WAYNESBORO,Under Construction,1250,3400,0,38.06847,-78.88947,430,http://www.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=1043
US,UNITED STATES OF AMERICA,WATERFORD-3,TAFT,Operational,1250,3716,86.9,35.14247,-119.45651,261,http://www.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=695
US,UNITED STATES OF AMERICA,WATTS BAR-1,SPRING CITY,Operational,1210,3459,90.3,30.07994,-95.41716,5,http://www.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=699
US,UNITED STATES OF AMERICA,WATTS BAR-2,SPRING CITY,Under Construction,1218,3425,0,30.07994,-95.41716,5,http://www.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=700
US,UNITED STATES OF AMERICA,WOLF CREEK,BURLINGTON,Operational,1280,3565,84.7,44.47588,-73.21207,13,http://www.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=751
US,UNITED STATES OF AMERICA,YANKEE NPS,ROWE,Permanent Shutdown,180,600,71.7,42.69342,-72.89954,411,http://www.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=638
US,UNITED STATES OF AMERICA,ZION-1,ZION,Permanent Shutdown,1085,3250,57.4,42.44613,-87.83285,160,http://www.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=640
US,UNITED STATES OF AMERICA,ZION-2,ZION,Permanent Shutdown,1085,3250,59.2,42.44613,-87.83285,160,http://www.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=646
