Country Code,Country,Sitename,Location,Status,Gross (MWe),Capacity (MWt),Mean LF (%),2013 LF (%),lat (-90 to 90),lng (-180 to 180),alt (m),,
CA,CANADA,GENTILLY-1,BECANCOUR,Permanent Shutdown,266,792,5.7,0,46.39583,-72.35694,-21.1,PRIS,Map
CA,CANADA,PICKERING-1,PICKERING,Operational,542,1744,63.2,46,43.81167,-79.06583,46.6,PRIS,Map
CA,CANADA,PICKERING-2,PICKERING,Permanent Shutdown,542,1744,60.3,0,43.81167,-79.06583,46.6,PRIS,Map
CA,CANADA,PICKERING-3,PICKERING,Permanent Shutdown,542,1744,69,0,43.81167,-79.06583,46.6,PRIS,Map
CA,CANADA,PICKERING-4,PICKERING,Operational,542,1744,66,86.1,43.81167,-79.06583,46.6,PRIS,Map
CA,CANADA,BRUCE-1,TIVERTON,Operational,824,2575,65.1,77.7,44.32528,-81.59944,130.2,PRIS,Map
CA,CANADA,BRUCE-2,TIVERTON,Operational,786,2456,61.2,87.2,44.32528,-81.59944,130.2,PRIS,Map
CH,SWITZERLAND,BEZNAU-1,BEZNAU,Operational,380,1130,84.4,96.3,47.552107,8.228492,486.5,PRIS,Map
CH,SWITZERLAND,MUEHLEBERG,MUEHLEBERG,Operational,390,1097,87.1,89.4,47.47034,8.31098,503.3,PRIS,Map
CH,SWITZERLAND,BEZNAU-2,BEZNAU,Operational,380,1130,87.6,90.4,47.552107,8.228492,486.5,PRIS,Map
CH,SWITZERLAND,GOESGEN,DAENIKEN,Operational,1035,3002,88.9,74.3,47.36611,7.96667,470.2,PRIS,Map
CH,SWITZERLAND,LEIBSTADT,LEIBSTADT,Operational,1275,3600,85.7,90.7,47.60306,8.18472,430.0,PRIS,Map
CN,CHINA,QINSHAN-1,Jiaxing,Operational,310,966,81.1,82.7,30.43306,120.95,13.1,PRIS,Map
CN,CHINA,DAYA BAY-1,SHENZHEN CITY,Operational,984,2905,84.4,86.5,22.59722,114.54444,81.7,PRIS,Map
CN,CHINA,DAYA BAY-2,SHENZHEN CITY,Operational,984,2905,84.6,85.8,22.59722,114.54444,81.7,PRIS,Map
CN,CHINA,QINSHAN 2-1,Jiaxing,Operational,650,1930,80.3,87.6,30.43306,120.95,13.1,PRIS,Map
CN,CHINA,QINSHAN 2-2,Jiaxing,Operational,650,1930,88.8,90.2,30.43306,120.95,13.1,PRIS,Map
CN,CHINA,LING AO-1,SHENZEN,Operational,990,2905,87.8,82.3,22.6047889,114.5514889,98.2,PRIS,Map
CN,CHINA,LING AO-2,SHENZEN,Operational,990,2905,88.9,87.2,22.6047889,114.5514889,98.2,PRIS,Map
CN,CHINA,QINSHAN 3-1,Jiaxing,Operational,728,2064,90.9,92,30.43306,120.95,13.1,PRIS,Map
CZ,CZECH REPUBLIC,TEMELIN-1,TEMELIN,Operational,1056,3120,72,82.1,49.18,14.37611,528.8,PRIS,Map
CZ,CZECH REPUBLIC,TEMELIN-2,TEMELIN,Operational,1056,3120,78,84.4,49.18,14.37611,528.8,PRIS,Map
CZ,CZECH REPUBLIC,DUKOVANY-1,DUKOVANY,Operational,500,1444,84.9,92.2,49.085,16.14889,419.7,PRIS,Map
CZ,CZECH REPUBLIC,DUKOVANY-2,DUKOVANY,Operational,500,1444,85.1,89.4,49.085,16.14889,419.7,PRIS,Map
CZ,CZECH REPUBLIC,DUKOVANY-3,DUKOVANY,Operational,500,1444,84.3,86.4,49.085,16.14889,419.7,PRIS,Map
CZ,CZECH REPUBLIC,DUKOVANY-4,DUKOVANY,Operational,500,1444,85.5,90.4,49.085,16.14889,419.7,PRIS,Map
DE,GERMANY,VAK KAHL,KAHL,Permanent Shutdown,16,60,58.3,0,50.0591194,8.987278,164.3,PRIS,Map
DE,GERMANY,STADE,STADE,Permanent Shutdown,672,1900,82.7,0,53.62,9.53083,39.6,PRIS,Map
DE,GERMANY,NIEDERAICHBACH,NIEDERAICHBACH,Permanent Shutdown,106,321,1.1,0,48.605802,12.300085,425.7,PRIS,Map
DE,GERMANY,BIBLIS-A,BIBLIS,Permanent Shutdown,1225,3517,63.1,0,49.71,8.41528,141.5,PRIS,Map
DE,GERMANY,BRUNSBUETTEL,BRUNSBUETTEL,Permanent Shutdown,806,2292,51.1,0,53.89167,9.20167,39.5,PRIS,Map
DE,GERMANY,PHILIPPSBURG-1,PHILIPPSBURG,Permanent Shutdown,926,2575,76.8,0,49.2525,8.43639,142.1,PRIS,Map
DE,GERMANY,NECKARWESTHEIM-1,NECKARWESTHEIM,Permanent Shutdown,840,2497,76.8,0,49.04167,9.175,253.7,PRIS,Map
DE,GERMANY,ISAR-1,ESSENBACH,Permanent Shutdown,912,2575,78.7,0,48.6056056,12.29315,424.9,PRIS,Map
DE,GERMANY,UNTERWESER,STADLAND,Permanent Shutdown,1410,3900,79.4,0,53.4277,8.4801972,39.9,PRIS,Map
DE,GERMANY,BIBLIS-B,BIBLIS,Permanent Shutdown,1300,3733,66,0,49.71,8.41528,141.5,PRIS,Map
DE,GERMANY,THTR-300,HAMM-UENTROP,Permanent Shutdown,308,760,41.3,0,51.67917,7.97167,120.4,PRIS,Map
DE,GERMANY,MZFR,KARLSRUHE,Permanent Shutdown,57,200,70.6,0,49.10431,8.432586,167.5,PRIS,Map
DE,GERMANY,KRUEMMEL,GEESTHACHT,Permanent Shutdown,1402,3690,65.2,0,53.41,10.40889,70.1,PRIS,Map
DE,GERMANY,MUELHEIM-KAERLICH,MULHEIM-KAERLICH,Permanent Shutdown,1302,3760,76.4,0,50.40806,7.49,116.9,PRIS,Map
DE,GERMANY,GRAFENRHEINFELD,SCHWEINFURT,Operational,1345,3765,85.8,86.5,49.9840861,10.1846694,259.1,PRIS,Map
DE,GERMANY,PHILIPPSBURG-2,PHILIPPSBURG,Operational,1468,3950,87.7,71,49.2525,8.43639,142.1,PRIS,Map
DE,GERMANY,GUNDREMMINGEN-B,GUNDREMMINGEN,Operational,1344,3840,83.7,85.8,48.51472,10.40222,478.5,PRIS,Map
DE,GERMANY,GROHNDE,GROHNDE,Operational,1430,3900,90.4,87.5,52.03528,9.41333,121.6,PRIS,Map
DE,GERMANY,GUNDREMMINGEN-C,GUNDREMMINGEN,Operational,1344,3840,82,88.8,48.51472,10.40222,478.5,PRIS,Map
DE,GERMANY,GUNDREMMINGEN-A,GUNDREMMINGEN,Permanent Shutdown,250,801,80.6,0,48.51472,10.40222,478.5,PRIS,Map
DE,GERMANY,ISAR-2,ESSENBACH,Operational,1485,3950,89.6,92.3,48.6056056,12.29315,424.9,PRIS,Map
DE,GERMANY,BROKDORF,OSTERENDE,Operational,1480,3900,88.2,90.2,53.85083,9.34472,37.6,PRIS,Map
DE,GERMANY,EMSLAND,LINGEN (EMS),Operational,1400,3850,93.5,93.7,52.4742306,7.3178583,78.0,PRIS,Map
DE,GERMANY,AVR JUELICH,JUELICH,Permanent Shutdown,15,46,62,0,50.90306,6.42111,146.5,PRIS,Map
DE,GERMANY,NECKARWESTHEIM-2,NECKARWESTHEIM,Operational,1400,3850,92.1,89,49.04167,9.175,253.7,PRIS,Map
DE,GERMANY,OBRIGHEIM,OBRIGHEIM,Permanent Shutdown,357,1050,81.3,0,49.36444,9.07639,274.9,PRIS,Map
